Report Name,AR report
Store Name,b2b-uat.myshopify.com
Generated On,31-Jul-2026 07:25:53 PM

Sr. No.,Order Date,Order Number,Email ID,Payment Status,Product Type,Product Category,Subtotal,Tax Value,Shipping Charge,Grand Total,Paid,Outstanding,Currency,Partner Name,Partner Cert ID,Partner SAP ID,Partner Type,Sales Rep. Name,Sales Rep. Emp Code,Entity,Division Name,Division Code,Order Age,upto 30 Days,31-60 Days,61-90 Days,91-120 Days,121-150 Days,151-180 Days,181-365 Days,365 Above
98,28-Apr-2026,#1342,kroy.gerber@dropons.com,PENDING,,,398.0,0.0,0.0,398.0,0.0,398.0,USD,Sample Company,SAP7A92KX4M1,784592316048,ATC,"Hello World
",BANN6645,,,,94,0,0,0,398.0,0,0,0,0
99,28-Apr-2026,#1341,kroy.gerber@dropons.com,PENDING,,,199.0,0.0,0.0,199.0,0.0,199.0,USD,Sample Company,SAP7A92KX4M1,784592316048,ATC,"Hello World
",BANN6645,,,,94,0,0,0,199.0,0,0,0,0
100,27-Apr-2026,#1340,radicalnaksha@gmail.com,PARTIALLY_PAID,DRM W/PU EV + iLabs,CEH,4933.5,31.4,0.0,4964.9,4485.0,479.9,USD,KETAN UNIVERSITY,F3SAP8Q2W7KN,692385741908,ATC,,,,,,95,0,0,0,4964.9,0,0,0,0
101,27-Apr-2026,#1339,radicalnaksha@gmail.com,PARTIALLY_PAID,,,30104.76,2328.4,0.0,32613.16,32534.9,78.26,USD,KETAN UNIVERSITY,F3SAP8Q2W7KN,692385741908,ATC,,,,,,95,0,0,0,32613.16,0,0,0,0
102,27-Apr-2026,#1338,radicalnaksha@gmail.com,PENDING,CQ iLabs,CSE,15398.0,0.0,0.0,15398.0,0.0,15398.0,USD,KETAN UNIVERSITY,F3SAP8Q2W7KN,692385741908,Academia,,,,,,95,0,0,0,15398.0,0,0,0,0
103,22-Apr-2026,#1332,Ketan.thakar@eccouncil.org,PENDING,DRM + iLabs,CEH,704.0,0.0,0.0,704.0,0.0,704.0,USD,Finance Test1,Q8L2SAP91XZT,195837462701,,,,,,,100,0,0,0,704.0,0,0,0,0
104,17-Apr-2026,#1330,eccouncilwork@gmail.com,PARTIALLY_PAID,DRM W/PU EV + Lab + Practice range,CPENT,1647.0,0.0,0.0,1647.0,1000.0,647.0,USD,Sample Company,SAP7A92KX4M1,784592316048,ATC,"Hello World
",BANN6645,,,,105,0,0,0,1647.0,0,0,0,0
105,16-Apr-2026,#1323,merebappu1@gmail.com,PENDING,,,398.0,0.0,0.0,398.0,0.0,398.0,USD,META IT PVT ltd,C8X2Q5SAP7LM,736095214887,,,,,,,106,0,0,0,398.0,0,0,0,0
106,16-Apr-2026,#1322,finance@eccouncil.org,PENDING,DRM W/PU EV + iLabs + iVideo,CSCU,497.0,0.0,0.0,497.0,0.0,497.0,USD,Finance test ketan,M4P8R1K2WQ9A,603918475226,,,,,,,106,0,0,0,497.0,0,0,0,0
107,15-Apr-2026,#1321,gargeepawarecc@gmail.com,PENDING,,,199.0,13.93,0.0,212.93,0.0,212.93,USD,Tata Sonic,SAP2M7L8X4ZW,529801467312,Academia,"Sameer Singh
",1010,,,,107,0,0,0,212.93,0,0,0,0
108,13-Apr-2026,#1320,kamen.ericsson@dropons.com,PARTIALLY_PAID,DRM W/PU EV + iLabs + iVideo,CSCU,447.0,42.47,0.0,489.47,108.4,381.07,USD,Sample Company,SAP7A92KX4M1,784592316048,,,USDTAI,,,,109,0,0,0,489.47,0,0,0,0
109,13-Apr-2026,#1319,kamen.ericsson@dropons.com,PENDING,DRM W/ECC EV + iLabs,CEH,1092.99,76.51,0.0,1169.5,0.0,1169.5,USD,Sample Company,SAP7A92KX4M1,784592316048,ATC,,DXTHOCKENS,,,,109,0,0,0,1169.5,0,0,0,0
110,09-Apr-2026,#1318,kamen.ericsson@dropons.com,PENDING,CQ iLabs,CSE,750.0,52.51,0.0,806.01,0.0,806.01,USD,Sample Company,SAP7A92KX4M1,784592316048,ATC,,DXTHOCKENS,,,,113,0,0,0,806.01,0,0,0,0
111,08-Apr-2026,#1316,anandprakash.prasad@eccouncill.org,PENDING,DRM W/ECC EV + iLabs,CEH,1058.0,66.64,0.0,1124.64,0.0,1124.64,USD,Anand's Company,Y6K2A7T9PXLM,470918632155,,,,,,,114,0,0,0,1124.64,0,0,0,0
112,08-Apr-2026,#1315,anandprakash.prasad@eccouncill.org,PENDING,DRM W/ECC EV + iLabs,CCT,1437.0,100.59,0.0,1537.59,0.0,1537.59,USD,Anand's Company,Y6K2A7T9PXLM,470918632155,,,,,,,114,0,0,0,1537.59,0,0,0,0
113,08-Apr-2026,#1314,anandprakash.prasad@eccouncill.org,PENDING,,,398.0,0.0,0.0,398.0,0.0,398.0,USD,Sample Company,SAP7A92KX4M1,784592316048,ATC,"Hello World
",BANN6645,,,,114,0,0,0,398.0,0,0,0,0
114,07-Apr-2026,#1311,sameer.singh@eccouncil.org,PENDING,,,199.0,17.67,0.0,216.67,0.0,216.67,USD,Tata Sonic,SAP2M7L8X4ZW,529801467312,,,,,,,115,0,0,0,216.67,0,0,0,0
115,07-Apr-2026,#1310,anandprakash.prasad@eccouncill.org,PENDING,,,199.0,0.0,0.0,199.0,0.0,199.0,USD,Sample Company,SAP7A92KX4M1,784592316048,,"Hello World
",BANN6645,,,,115,0,0,0,199.0,0,0,0,0
116,07-Apr-2026,#1309,anandprakash.prasad@eccouncill.org,PENDING,,,199.0,0.0,0.0,199.0,0.0,199.0,USD,Sample Company,SAP7A92KX4M1,784592316048,,"Hello World
",BANN6645,,,,115,0,0,0,199.0,0,0,0,0
117,07-Apr-2026,#1308,sameer.singh@eccouncil.org,PENDING,,,199.0,17.67,0.0,216.67,0.0,216.67,USD,Tata Sonic,SAP2M7L8X4ZW,529801467312,,,,,,,115,0,0,0,216.67,0,0,0,0
118,07-Apr-2026,#1307,sameer.singh@eccouncil.org,PENDING,,,199.0,17.67,0.0,216.67,0.0,216.67,USD,Tata Sonic,SAP2M7L8X4ZW,529801467312,,,,,,,115,0,0,0,216.67,0,0,0,0
119,07-Apr-2026,#1306,sameer.singh@eccouncil.org,PENDING,,,1249.0,110.86,0.0,1359.86,0.0,1359.86,USD,Tata Sonic,SAP2M7L8X4ZW,529801467312,,,,,,,115,0,0,0,1359.86,0,0,0,0
120,07-Apr-2026,#1305,sameer.singh@eccouncil.org,PENDING,DRM W/PU EV + Lab + Practice range,CPENT,1249.0,110.86,0.0,1359.86,0.0,1359.86,USD,Tata Sonic,SAP2M7L8X4ZW,529801467312,,,,,,,115,0,0,0,1359.86,0,0,0,0
121,06-Apr-2026,#1297,kamen.ericsson@dropons.com,PENDING,DRM W/ECC EV + iLabs,CCT,279.0,26.51,0.0,305.51,0.0,305.51,USD,Sample Company,SAP7A92KX4M1,784592316048,,ABC,USDTAI,,,,116,0,0,0,305.51,0,0,0,0
122,06-Apr-2026,#1295,kamen.ericsson@dropons.com,PENDING,DRM W/PU EV + iLabs,CEH,3474.0,330.03,0.0,3804.03,0.0,3804.03,USD,Sample Company,SAP7A92KX4M1,784592316048,,,USDTAI,,,,116,0,0,0,3804.03,0,0,0,0
123,03-Apr-2026,#1289,kamen.ericsson@dropons.com,PARTIALLY_PAID,DRM + iLabs,CEH,500.0,47.5,0.0,547.5,273.75,273.75,USD,Sample Company,SAP7A92KX4M1,784592316048,,,USDTAI,,,,119,0,0,0,547.5,0,0,0,0
124,03-Apr-2026,#1286,kamen.ericsson@dropons.com,PENDING,DRM W/ECC EV + iLabs,CCT,558.0,53.01,0.0,611.01,0.0,611.01,USD,Sample Company,SAP7A92KX4M1,784592316048,,,USDTAI,,,,119,0,0,0,611.01,0,0,0,0
125,03-Apr-2026,#1283,kamen.ericsson@dropons.com,PENDING,DRM W/ECC EV + iLabs,CCT,18693.0,1308.51,0.0,20001.51,0.0,20001.51,USD,Sample Company,SAP7A92KX4M1,784592316048,,,DXTHOCKENS,,,,119,0,0,0,20001.51,0,0,0,0
126,03-Apr-2026,#1282,kamen.ericsson@dropons.com,PENDING,DRM + iLabs,CEH,7500.0,525.0,0.0,8025.0,0.0,8025.0,USD,Sample Company,SAP7A92KX4M1,784592316048,,,DXTHOCKENS,,,,119,0,0,0,8025.0,0,0,0,0
127,02-Apr-2026,#1273,jeremey.jarvin@dropons.com,PENDING,DRM,ACCISO,99.98,0.0,0.0,99.98,0.0,99.98,USD,Sample Company,SAP7A92KX4M1,784592316048,,"Hello World
",BANN6645,,,,120,0,0,0,99.98,0,0,0,0
128,02-Apr-2026,#1272,jeremey.jarvin@dropons.com,PENDING,DRM W/PU EV + iLabs,CEH,1158.0,104.22,0.0,1262.22,0.0,1262.22,USD,Sample Company,SAP7A92KX4M1,784592316048,,"Hello World
",BANN6645,,,,120,0,0,0,1262.22,0,0,0,0
129,01-Apr-2026,#1271,anandprakash.prasad@eccouncill.org,PENDING,DRM W/PU EV + iLabs,CEH,5790.0,405.31,0.0,6195.31,0.0,6195.31,USD,Sample Company,SAP7A92KX4M1,784592316048,,,DXTHOCKENS,,,,121,0,0,0,0,6195.31,0,0,0
130,01-Apr-2026,#1270,sameer.singh@eccouncil.org,PENDING,,,1249.0,110.86,0.0,1359.86,0.0,1359.86,USD,Tata Sonic,SAP2M7L8X4ZW,529801467312,,,,,,,121,0,0,0,0,1359.86,0,0,0
131,01-Apr-2026,#1269,anandprakash.prasad@eccouncill.org,PENDING,DRM W/ECC EV + iLabs,CCT,0.0,0.0,0.0,27.9,0.0,27.9,USD,Sample Company,SAP7A92KX4M1,784592316048,,,DXTHOCKENS,,,,121,0,0,0,0,27.9,0,0,0
132,27-Mar-2026,#1267,anandprakash.prasad@eccouncill.org,PENDING,DRM W/ECC EV + iLabs,CEH,1437.0,114.96,0.0,1551.96,0.0,1551.96,USD,TAX EXAMPT TEST,X9C2N7B5SAP4,842761950314,,"Suraj Mistri
",#0001,,,,126,0,0,0,0,1551.96,0,0,0
133,27-Mar-2026,#1266,gargeepawarecc@gmail.com,PENDING,DRM + iLabs,CCSE,199.0,0.0,0.0,199.0,0.0,199.0,USD,,,,,,,,,,126,0,0,0,0,199.0,0,0,0
134,26-Mar-2026,#1264,kudifedy@forexzig.com,PENDING,DRM W/PU EV + iLabs,CEH,2316.0,0.0,0.0,2316.0,0.0,2316.0,USD,Sandhya Test company finance,SAP5Y8L2N4XC,569132784025,,,,,,,127,0,0,0,0,2316.0,0,0,0
135,26-Mar-2026,#1261,gargeepawarecc@gmail.com,PENDING,Lab,CND,597.0,52.99,0.0,649.99,0.0,649.99,USD,Tata Sonic,SAP2M7L8X4ZW,529801467312,,,,,,,127,0,0,0,0,649.99,0,0,0
136,26-Mar-2026,#1260,gargeepawarecc@gmail.com,PENDING,,,1352.0,120.0,0.0,1472.0,0.0,1472.0,USD,Tata Sonic,SAP2M7L8X4ZW,529801467312,,,,,,,127,0,0,0,0,1472.0,0,0,0
137,26-Mar-2026,#1259,gargeepawarecc@gmail.com,PENDING,,,956.0,84.84,0.0,1040.84,0.0,1040.84,USD,Tata Sonic,SAP2M7L8X4ZW,529801467312,,,,,,,127,0,0,0,0,1040.84,0,0,0
138,25-Mar-2026,#1258,anandprakash.prasad@eccouncill.org,PARTIALLY_PAID,DRM + iLabs,CEH,375.0,33.3,0.0,420.8,408.29,12.51,USD,TAX EXAMPT TEST,X9C2N7B5SAP4,842761950314,,,,,,,128,0,0,0,0,420.8,0,0,0
139,25-Mar-2026,#1256,anandprakash.prasad@eccouncill.org,PARTIALLY_PAID,DRM + iLabs,CEH,375.0,33.3,0.0,408.3,408.29,0.01,USD,TAX EXAMPT TEST,X9C2N7B5SAP4,842761950314,,,,,,,128,0,0,0,0,408.3,0,0,0
140,25-Mar-2026,#1255,anandprakash.prasad@eccouncill.org,PENDING,DRM + iLabs,CEH,250.0,22.2,0.0,272.2,0.0,272.2,USD,TAX EXAMPT TEST,X9C2N7B5SAP4,842761950314,,,,,,,128,0,0,0,0,272.2,0,0,0
141,25-Mar-2026,#1253,anandprakash.prasad@eccouncill.org,PENDING,DRM + iLabs,CEH,250.0,22.2,0.0,272.2,0.0,272.2,USD,TAX EXAMPT TEST,X9C2N7B5SAP4,842761950314,,,,,,,128,0,0,0,0,272.2,0,0,0
142,20-Mar-2026,#1236,jarell.luccas@dropmeon.com,PENDING,DRM + iLabs,CEH,125.0,8.75,0.0,133.75,0.0,133.75,USD,Sample Company,SAP7A92KX4M1,784592316048,,,DXTHOCKENS,,,,133,0,0,0,0,133.75,0,0,0
143,20-Mar-2026,#1235,anandprakash.prasad@eccouncill.org,PENDING,DRM + iLabs,CEH,250.0,22.2,0.0,284.7,0.0,284.7,USD,TAX EXAMPT TEST,X9C2N7B5SAP4,842761950314,,,,,,,133,0,0,0,0,284.7,0,0,0
144,18-Mar-2026,#1228,sameer.singh@eccouncil.org,PENDING,DRM,CND,1919.0,152.57,0.0,2071.57,0.0,2071.57,USD,Tata Sonic,SAP2M7L8X4ZW,529801467312,,,,,,,135,0,0,0,0,2071.57,0,0,0
145,18-Mar-2026,#1226,anandprakash.prasad@eccouncill.org,PENDING,DRM,ACCISO,1296.98,0.0,0.0,1296.98,0.0,1296.98,USD,TAX EXAMPT TEST,X9C2N7B5SAP4,842761950314,,"Suraj Mistri
",#0001,,,,135,0,0,0,0,1296.98,0,0,0
146,18-Mar-2026,#1225,anandprakash.prasad@eccouncill.org,PENDING,iLabs,CDE,1480.0,0.0,0.0,1480.0,0.0,1480.0,USD,TAX EXAMPT TEST,X9C2N7B5SAP4,842761950314,,"Suraj Mistri
",#0001,,,,135,0,0,0,0,1480.0,0,0,0
147,18-Mar-2026,#1223,sameer.singh@eccouncil.org,PENDING,DRM W/PU EV + Lab + Practice range,CPENT,2299.0,204.05,0.0,2503.05,0.0,2503.05,USD,Tata Sonic,SAP2M7L8X4ZW,529801467312,,,,,,,135,0,0,0,0,2503.05,0,0,0
148,18-Mar-2026,#1221,sameer.singh@eccouncil.org,PENDING,DRM W/PU EV + Lab + Practice range,CPENT,2100.0,186.38,0.0,2286.38,0.0,2286.38,USD,Tata Sonic,SAP2M7L8X4ZW,529801467312,,,,,,,135,0,0,0,0,2286.38,0,0,0
149,18-Mar-2026,#1218,sameer.singh@eccouncil.org,PENDING,,,199.0,17.67,0.0,216.67,0.0,216.67,USD,Tata Sonic,SAP2M7L8X4ZW,529801467312,,,,,,,135,0,0,0,0,216.67,0,0,0
150,18-Mar-2026,#1216,sandhyakumari1987@gmail.com,PENDING,ECC EV,CEH,1049.0,66.08,0.0,1115.08,0.0,1115.08,USD,Milton PVT Ltd.,W3M7L9P2AKRX,251749863015,,,,,,,135,0,0,0,0,1115.08,0,0,0
151,18-Mar-2026,#1215,sandhyakumari1987@gmail.com,PENDING,DRM,CHFI,2292.0,144.38,0.0,2436.38,0.0,2436.38,USD,Milton PVT Ltd.,W3M7L9P2AKRX,251749863015,,,,,,,135,0,0,0,0,2436.38,0,0,0
152,18-Mar-2026,#1214,ravivijay0060@gmail.com,PENDING,CQ iLabs,ISE,1133.92,0.0,0.0,1133.92,0.0,1133.92,USD,Sandhya Test company finance,SAP5Y8L2N4XC,569132784025,,,,,,,135,0,0,0,0,1133.92,0,0,0
153,18-Mar-2026,#1213,singhsameer.me@gmail.com,PENDING,DRM W/ECC EV + iLabs,CSCU,85.14,5.96,0.0,91.1,0.0,91.1,USD,Sample Company,SAP7A92KX4M1,784592316048,,,DXTHOCKENS,,,,135,0,0,0,0,91.1,0,0,0
154,18-Mar-2026,#1212,gargee.pawar@eccouncil.org,PENDING,DRM W/PU EV + iLabs,CEH,3474.0,308.32,0.0,3782.32,0.0,3782.32,USD,Test,B4R9N1KX6QPA,184623759540,,,,,,,135,0,0,0,0,3782.32,0,0,0
155,17-Mar-2026,#1210,merebappu1@gmail.com,PENDING,,,3493.0,314.37,0.0,3807.37,0.0,3807.37,USD,META IT PVT ltd,C8X2Q5SAP7LM,736095214887,,,,,,,136,0,0,0,0,3807.37,0,0,0
156,17-Mar-2026,#1209,merebappu1@gmail.com,PENDING,,,3467.0,312.03,0.0,3779.03,0.0,3779.03,USD,META IT PVT ltd,C8X2Q5SAP7LM,736095214887,,,,,,,136,0,0,0,0,3779.03,0,0,0
157,17-Mar-2026,#1208,sandhyakumari1987@gmail.com,PENDING,,,1592.52,207.03,0.0,1799.55,0.0,1799.55,CAD,Milton PVT Ltd.,W3M7L9P2AKRX,251749863015,,,,,,,136,0,0,0,0,1799.55,0,0,0
158,17-Mar-2026,#1207,sandhyakumari1987@gmail.com,PENDING,DRM,CTIA,2196.19,285.51,0.0,2481.7,0.0,2481.7,CAD,Milton PVT Ltd.,W3M7L9P2AKRX,251749863015,,,,,,,136,0,0,0,0,2481.7,0,0,0
159,17-Mar-2026,#1206,sandhyakumari1987@gmail.com,PENDING,iLabs,CEH,3049.99,0.0,0.0,3049.99,0.0,3049.99,USD,Milton PVT Ltd.,W3M7L9P2AKRX,251749863015,,,,,,,136,0,0,0,0,3049.99,0,0,0
160,17-Mar-2026,#1203,eccouncilwork@gmail.com,PENDING,,,199.0,17.91,0.0,216.91,0.0,216.91,USD,Sample Company,SAP7A92KX4M1,784592316048,,"Hello World
",BANN6645,,,,136,0,0,0,0,216.91,0,0,0
161,17-Mar-2026,#1201,eccouncilwork@gmail.com,PENDING,,,1791.0,161.19,0.0,1952.19,0.0,1952.19,USD,Sample Company,SAP7A92KX4M1,784592316048,,"Hello World
",BANN6645,,,,136,0,0,0,0,1952.19,0,0,0
162,17-Mar-2026,#1200,eccouncilwork@gmail.com,PENDING,,,1791.0,161.19,0.0,1952.19,0.0,1952.19,USD,Sample Company,SAP7A92KX4M1,784592316048,,"Hello World
",BANN6645,,,,136,0,0,0,0,1952.19,0,0,0
163,17-Mar-2026,#1199,eccouncilwork@gmail.com,AUTHORIZED,ECC EV,ACCISO,1559.82,72.9,0.0,1632.72,0.0,1432.72,USD,Sample Company,SAP7A92KX4M1,784592316048,,"Hello World
",BANN6645,,,,136,0,0,0,0,1632.72,0,0,0
164,17-Mar-2026,#1198,eccouncilwork@gmail.com,PENDING,,,201400.0,18126.0,0.0,219526.0,0.0,219526.0,USD,Sample Company,SAP7A92KX4M1,784592316048,,"Hello World
",BANN6645,,,,136,0,0,0,0,219526.0,0,0,0
165,16-Mar-2026,#1197,aayushigoyal27071997@gmail.com,PENDING,DRM,ACCISO,3121.96,226.38,0.0,3348.34,0.0,3348.34,USD,Sachin Kumar,L8P3S6V1QX2M,392684175907,,,,,,,137,0,0,0,0,3348.34,0,0,0
166,16-Mar-2026,#1196,ravivijay0060@gmail.com,PENDING,Lab,CHFI,3758.0,272.48,0.0,4030.48,0.0,4030.48,USD,Sandhya Test company finance,SAP5Y8L2N4XC,569132784025,,,,,,,137,0,0,0,0,4030.48,0,0,0
167,13-Mar-2026,#1192,anandprakash.prasad@eccouncill.org,PENDING,DRM + iLabs,CEH,404.0,0.0,0.0,404.0,0.0,404.0,USD,TAX EXAMPT TEST,X9C2N7B5SAP4,842761950314,,"Suraj Mistri
",#0001,,,,140,0,0,0,0,404.0,0,0,0
168,13-Mar-2026,#1191,eccouncilwork@gmail.com,PENDING,,,1194.0,107.46,0.0,1301.46,0.0,1301.46,USD,Sample Company,SAP7A92KX4M1,784592316048,,"Hello World
",BANN6645,,,,140,0,0,0,0,1301.46,0,0,0
169,13-Mar-2026,#1188,eccouncilwork@gmail.com,PENDING,,,1194.0,107.46,0.0,1301.46,0.0,1301.46,USD,Sample Company,SAP7A92KX4M1,784592316048,,"Hello World
",BANN6645,,,,140,0,0,0,0,1301.46,0,0,0
170,13-Mar-2026,#1184,aayushi.goyal@eccouncil.org,PENDING,DRM + iLabs,CEH,375.0,33.75,0.0,408.75,0.0,408.75,USD,Finance Test1,Q8L2SAP91XZT,195837462701,,,,,,,140,0,0,0,0,408.75,0,0,0
171,11-Mar-2026,#1176,mevucepi@forexzig.com,PENDING,DRM W/ECC EV + iLabs,CCT,279.0,0.0,0.0,279.0,0.0,279.0,USD,Test 2,Z1R8SAP6W4TN,958214637180,,,,,,,142,0,0,0,0,279.0,0,0,0
172,10-Mar-2026,#1173,singhsameer.me@gmail.com,PENDING,iLabs,CEH,45.84,3.21,0.0,49.05,0.0,49.05,USD,Sample Company,SAP7A92KX4M1,784592316048,,,DXTHOCKENS,,,,143,0,0,0,0,49.05,0,0,0
173,10-Mar-2026,#1172,singhsameer.me@gmail.com,PENDING,DRM,ACCISO,130.98,9.16,0.0,140.14,0.0,140.14,USD,Sample Company,SAP7A92KX4M1,784592316048,,,DXTHOCKENS,,,,143,0,0,0,0,140.14,0,0,0
174,10-Mar-2026,#1171,singhsameer.me@gmail.com,PENDING,DRM W/ECC EV + iLabs,CSCU,214.83,15.04,0.0,229.87,0.0,229.87,USD,Sample Company,SAP7A92KX4M1,784592316048,,,DXTHOCKENS,,,,143,0,0,0,0,229.87,0,0,0
175,09-Mar-2026,#1168,singhsameer.me@gmail.com,PENDING,DRM,ACCISO,327.45,22.92,0.0,350.37,0.0,350.37,USD,Sample Company,SAP7A92KX4M1,784592316048,,,DXTHOCKENS,,,,144,0,0,0,0,350.37,0,0,0
176,09-Mar-2026,#1166,joncarlo.greysin@dropmeon.com,PENDING,DRM W/ECC EV + iLabs,CSCU,1499.85,104.99,0.0,1604.84,0.0,1604.84,USD,Sample Company,SAP7A92KX4M1,784592316048,,,DXTHOCKENS,,,,144,0,0,0,0,1604.84,0,0,0
177,09-Mar-2026,#1162,gargeepawarecc@gmail.com,PENDING,DRM + iLabs,CEH,125.0,8.75,0.0,133.75,0.0,133.75,USD,Finance Test1,Q8L2SAP91XZT,195837462701,,,,,,,144,0,0,0,0,133.75,0,0,0
178,05-Mar-2026,#1157,singhsameer.me@gmail.com,PENDING,DRM,ACCISO,65.49,0.0,0.0,65.49,0.0,65.49,USD,Sample Company,SAP7A92KX4M1,784592316048,,,DXTHOCKENS,,,,148,0,0,0,0,65.49,0,0,0
179,05-Mar-2026,#1151,watoco@denipl.com,PENDING,DRM + iLabs,CEH,875.0,77.66,0.0,952.66,0.0,952.66,USD,TAX EXAMPT TEST,X9C2N7B5SAP4,842761950314,,"Suraj Mistri
",#0001,,,,148,0,0,0,0,952.66,0,0,0
180,25-Feb-2026,#1143,aditya.gothwad@eccouncil.org,PENDING,DRM W/ECC EV + iLabs,CCT,558.0,0.0,0.0,558.0,0.0,558.0,USD,Sample Company,SAP7A92KX4M1,784592316048,,,DXTHOCKENS,,,,156,0,0,0,0,0,558.0,0,0
181,23-Feb-2026,#1132,eccouncilwork@gmail.com,PARTIALLY_PAID,,,538.2,48.43,0.0,586.63,293.31,293.32,USD,Sample Company,SAP7A92KX4M1,784592316048,,,USDTAI,,,,158,0,0,0,0,0,586.63,0,0
182,20-Feb-2026,#1130,eccouncilwork@gmail.com,PENDING,,,1076.4,96.86,0.0,1173.26,0.0,1173.26,USD,Sample Company,SAP7A92KX4M1,784592316048,,,USDTAI,,,,161,0,0,0,0,0,1173.26,0,0
183,20-Feb-2026,#1129,ketanthakar54@gmail.com,PENDING,DRM W/ECC EV + iLabs,CCT,279.0,19.53,0.0,298.53,0.0,298.53,USD,Finance Test1,Q8L2SAP91XZT,195837462701,,,,,,,161,0,0,0,0,0,298.53,0,0
184,20-Feb-2026,#1128,aayushi.goyal@eccouncil.org,PENDING,iLabs,CCT,275.0,11.25,0.0,286.25,0.0,286.25,USD,Finance Test1,Q8L2SAP91XZT,195837462701,,,,,,,161,0,0,0,0,0,286.25,0,0
185,20-Feb-2026,#1127,aayushi.goyal@eccouncil.org,PENDING,DRM W/PU EV + iLabs + iVideo,CSCU,1316.0,118.44,0.0,1434.44,0.0,1434.44,USD,Finance Test1,Q8L2SAP91XZT,195837462701,,,,,,,161,0,0,0,0,0,1434.44,0,0
186,20-Feb-2026,#1125,eccouncilwork@gmail.com,PENDING,,,1076.4,96.86,0.0,1173.26,0.0,1173.26,USD,Sample Company,SAP7A92KX4M1,784592316048,,,USDTAI,,,,161,0,0,0,0,0,1173.26,0,0
187,19-Feb-2026,#1122,Ketan.thakar@eccouncil.org,PENDING,DRM + iLabs,CCT,228.0,0.0,0.0,228.0,0.0,228.0,USD,Finance Test1,Q8L2SAP91XZT,195837462701,,,,,,,162,0,0,0,0,0,228.0,0,0
188,18-Feb-2026,#1120,eccouncilwork@gmail.com,PENDING,,,398.0,35.82,0.0,433.82,0.0,433.82,USD,Sample Company,SAP7A92KX4M1,784592316048,,"Hello World
",BANN6645,,,,163,0,0,0,0,0,433.82,0,0
189,17-Feb-2026,#1118,Ketan.thakar@eccouncil.org,PENDING,DRM W/PU EV + iLabs,CDE,1496.0,0.0,0.0,1496.0,0.0,1496.0,USD,Finance Test1,Q8L2SAP91XZT,195837462701,,,,,,,164,0,0,0,0,0,1496.0,0,0
190,17-Feb-2026,#1117,Ketan.thakar@eccouncil.org,PENDING,DRM W/ECC EV + iLabs,CEH,2495.0,227.05,0.0,2722.05,0.0,2722.05,USD,Finance Test1,Q8L2SAP91XZT,195837462701,,,,,,,164,0,0,0,0,0,2722.05,0,0
191,17-Feb-2026,#1116,Ketan.thakar@eccouncil.org,PENDING,DRM W/PU EV + iLabs,CDE,2713.0,172.28,0.0,2885.28,0.0,2885.28,USD,Finance Test1,Q8L2SAP91XZT,195837462701,,,,,,,164,0,0,0,0,0,2885.28,0,0
192,17-Feb-2026,#1115,Ketan.thakar@eccouncil.org,PENDING,DRM W/ECC EV + iLabs,CEH,1916.0,121.67,0.0,2037.67,0.0,2037.67,USD,Finance Test1,Q8L2SAP91XZT,195837462701,,,,,,,164,0,0,0,0,0,2037.67,0,0
193,16-Feb-2026,#1109,jaishri.more@eccouncil.org,PENDING,,,299.0,26.91,0.0,325.91,0.0,325.91,USD,Sample Company,SAP7A92KX4M1,784592316048,,,USDTAI,,,,165,0,0,0,0,0,325.91,0,0
194,16-Feb-2026,#1108,eccouncilwork@gmail.com,PENDING,,,478.4,43.04,0.0,521.44,0.0,521.44,USD,Sample Company,SAP7A92KX4M1,784592316048,,"Hello World
",BANN6645,,,,165,0,0,0,0,0,521.44,0,0
195,16-Feb-2026,#1107,eccouncilwork@gmail.com,PENDING,,,478.4,43.04,0.0,521.44,0.0,521.44,USD,Sample Company,SAP7A92KX4M1,784592316048,,"Hello World
",BANN6645,,,,165,0,0,0,0,0,521.44,0,0
196,16-Feb-2026,#1106,eccouncilwork@gmail.com,PENDING,,,478.4,43.04,0.0,521.44,0.0,521.44,USD,Sample Company,SAP7A92KX4M1,784592316048,,"Hello World
",BANN6645,,,,165,0,0,0,0,0,521.44,0,0
197,16-Feb-2026,#1105,eccouncilwork@gmail.com,PENDING,,,478.4,43.04,0.0,521.44,0.0,521.44,USD,Sample Company,SAP7A92KX4M1,784592316048,,,BANN6645,,,,165,0,0,0,0,0,521.44,0,0
198,16-Feb-2026,#1104,eccouncilwork@gmail.com,PARTIALLY_PAID,,,478.4,43.04,0.0,521.44,99.07,422.37,USD,Sample Company,SAP7A92KX4M1,784592316048,,,BANN6645,,,,165,0,0,0,0,0,521.44,0,0
199,16-Feb-2026,#1103,eccouncilwork@gmail.com,PENDING,,,478.4,43.04,0.0,521.44,0.0,521.44,USD,Sample Company,SAP7A92KX4M1,784592316048,,,USDTAI,,,,165,0,0,0,0,0,521.44,0,0
200,16-Feb-2026,#1102,eccouncilwork@gmail.com,PENDING,,,478.4,43.04,0.0,521.44,0.0,521.44,USD,Sample Company,SAP7A92KX4M1,784592316048,,"Compas banner
",BANN6645,,,,165,0,0,0,0,0,521.44,0,0
